main-captions	images	2015	1253	1.80	A young girl with a pink hat on with a yellow building in the background.	A young girl in a pink dress with something in her hand.
main-captions	images	2015	1254	4.00	A girl in a pink dress rides her bike along a white picket fence.	A girl in a red dress rides her bike in front of a white fence.
main-captions	images	2015	1255	1.40	A brown furry animal stands behind some plants.	A dog pants while standing in the woods.
main-captions	images	2015	1259	1.00	A child in a red shirt is using a black wake board to splash over a beach wave.	A man in a rowboat is rowing across blue water.
main-captions	images	2015	1261	3.40	The tan and white dog is running in the field.	The brown and white dogs run through the field.
main-captions	images	2015	1273	0.80	Two teenage girls, one is smiling.	A little girl on a kid swing.
main-captions	images	2015	1278	0.20	Two birds interacting in the grass	Two dogs play with each other outdoors.
main-captions	images	2015	1284	3.40	Two hikers stand at the top of a snowy mountain.	Two mountain climbers stand on the top of a mountain looking around.
main-captions	images	2015	1290	4.80	Two children in a field of red flowers.	Two kids are playing in a field of red flowers.
main-captions	images	2015	1291	4.00	A young men jumps off rocks into a lake.	A young man in red swimming trunks jumped off a large rock into the water.
main-captions	images	2015	1292	3.60	A small black dog is in the grass.	A black dog is running in the grass.
main-captions	images	2015	1293	1.00	A lady dressed in a kimono is looking at the camera.	Two girls dressed in black are sitting in a room making suggestive poses at the camera.
main-captions	images	2015	1295	0.00	A group of people are firing up a hot air balloon.	A large group of people riding brown and white horses.
main-captions	images	2015	1300	0.00	Children play fight with swords.	A child and parent pet a horse.
main-captions	images	2015	1301	1.40	A man is wind sailing in the ocean.	A dog is running through the ocean.
main-captions	images	2015	1303	1.40	Three dogs racing on a dirt track	Cars racing on a dirt track
main-captions	images	2015	1308	1.20	Two people holding hands and walking in a field.	Two men walking past a mural of a car.
main-captions	images	2015	1311	1.60	A brown dog chases a Frisbee	A brown dog squating on grass.
main-captions	images	2015	1316	5.00	Woman in red overalls standing on the sidewalk.	A woman in red overalls stands on sidewalk.
main-captions	images	2015	1317	2.80	A dog is running through a backyard full of leaves.	Three dogs run through a field.
main-captions	images	2015	1319	5.00	two puppies playing around in the grass	Two puppies play in the grass
main-captions	images	2015	1322	1.00	Two black and white dogs are playing together outside.	Two children and a black dog are playing out in the snow.
main-captions	images	2015	1323	1.00	Three dogs running through water.	A black dog running through water.
main-captions	images	2015	1325	1.20	A woman sits alone against a brick wall	A woman is walking with a red bag.
main-captions	images	2015	1331	2.60	A brown dog carrying a stick in its mouth.	A dog swimming with a stick in its mouth.
main-captions	images	2015	1332	0.80	A young woman leans over her plate at a meal.	A young woman, topless except for paint or mud.
main-captions	images	2015	1335	3.80	A person climbs up a snowy hill while their dog follows.	A person climbs a snowy hill while a black dog follows.
main-captions	images	2015	1336	2.00	A brown dog sits on the beach.	A dog running on the beach
main-captions	images	2015	1340	5.00	Scuba diver submerged in water.	The scuba diver is underwater.
main-captions	images	2015	1341	1.80	The man is riding a bike down a dirt hill.	A trick bicyclist grinds down a handrail.
main-captions	images	2015	1342	2.60	A large gray dog is playing in the deep snow.	Four dogs playing in the snow.
main-captions	images	2015	1343	0.80	A man riding his bike on the beach by the ocean.	A man walking his cow down the side of the road.
main-captions	images	2015	1345	1.00	A dog in in a car.	A dog is biting a mop.
main-captions	images	2015	1348	1.20	A dog with floppy ears walking towards the camera in the woods.	A child in front of his own reflection turning towards the camera and smiling.
main-captions	images	2015	1350	2.40	A brown dog is splashing water everywhere by shaking the water off of itself.	A white dog is standing by a river shaking himself dry.
main-captions	images	2015	1356	1.80	A black and white dog is running on the beach.	The black and brown dog is running through the snow.
main-captions	images	2015	1359	3.40	Many middle eastern people are sitting in the back of a blue truck.	A group of people are riding in the back of a truck.
main-captions	images	2015	1360	4.20	Person with two ski poles skiing down a snowy hill.	A person skiing down a snowy hill.
main-captions	images	2015	1361	4.60	A woman is eating fish at a restaurant.	A woman eating a large fish in a restaurant.
main-captions	images	2015	1362	2.20	A child and two dogs play in the water.	A child in red and blue floaties looking down at the water.
main-captions	images	2015	1363	2.20	A skateboarder doing a trick on a stone wall.	A skateboarder riding up to a slope.
main-captions	images	2015	1365	4.60	People are standing on an escalator moving up.	People ride up an escalator.
main-captions	images	2015	1369	4.20	A lady is running her dog through an agility course.	Trainer runs her dog through training course with green pipe
main-captions	images	2015	1370	1.40	The white and brown dog is shaking its ears.	The brown dog is running across the sand.
main-captions	images	2015	1376	0.20	Some children are raising their hands and clapping.	Three children are playing soccer in the sand.
main-captions	images	2015	1380	0.00	A man blowing a large bubble.	A man walking a large black horse.
